What is your gender?,"Shakespeare famously said, that ""all is fair in love and war."" Do you agree with this?","Consider the following situation:
John is attracted to a woman named Rebecca. John's friend Mark is also interested in Rebecca. Rebecca is extremely beautiful. If John were to begin a relationship with Rebecca, all of his friends would be envious of him including Mark who has strong feelings for her. There is another problem. John knows that his family would not approve of Rebecca because of her skin color. John is unsure of how to proceed. Rebecca has already indicated that she is attracted to him and if John would like to begin a relationship with her all he has to do is tell her how he feels. 
What are your thoughts on this situation? (Be as detailed as you like in your response.)",What are some of the things that people should consider when pursuing a romantic relationship with someone else? (Be as detailed as you like in your response)
Other,No,He'd still pursue the relationship. Love is love after all and if both are happy together that should be fine. Of course John and Mark need to have a talk beforehand to set things straight and to possibly find a peaceful solution together.,Whether the partner completes the other like a missing piece of the puzzle
Female,Maybe,"The family not approving the relationship due to the skin color is nasty to say the least. John shouldn't let that stop pursuing the relationship. On the other hand, getting with Rebecca knowing well that his friend has feelings for her has me unsure. If one's friend dated their crush knowing well how they felt, can feel like a betrayal. But Mark can't be entitled to Rebecca, after all she showed interest in a relationship with John. I guess best would be to talk about it with the friend.","How well you get along, personality, if it is appropriate, friends opinions (though not in all cases)."
Male,No,"Funny...
So let's say a guy named Frederic likes a girl named Anne-Marie. She is 6 years younger (he is 23 at the time). Extremely shy, he was seduced by her, since she made him understand that she liked him. I should point out that she wants to leave her parents' home, as she does not get along with her father at all...
When she is of age, she comes to live with him...
Frederic is then extremely happy to introduce her to his family. His mother is reluctant, finding her too young for him. She tells him that she is not made for him. But Frederic doesn't listen, and announces that it will be with her, or else he won't come back home...
Years go by, perfect love for Frederic, Anne-Marie being in perfect symbiosis with him in everything...
Marriage, 3 children, Frederic rises in rank and introduces his colleague and best friend to his wife. Everything goes so well, that the colleague comes 3 times a week, and they even celebrate all the holidays together...
Now, guess what happens next...

","Are we strong enough for a break-up or divorce...?
If not, it is better to remain friends..."
Prefer not to say,Yes,"This situation is quite interesting, maybe John should stand up to his family because its his decision who to love. If John's friends are real friends they would be happy for him and if Mark has feelings for Rebecca as well then I guess his chances are over.","We should be aware of everyone else around to not hurt anyone's feelings, when I was in a relationship we were very wary not to let anyone know ( except our parents ) so it doesn't become annoying, if people start knowing about a relationship you'll be in the daily gossip."
Prefer not to say,Maybe,"I think John should go for it. 
If Mark (or other friends) are not happy with that they had to do the first move. 
The main problem is the family and depends of the relationship of John with them.","To trust one another, and to be stimulated in every way."
Female,No,"If John wants to pursue a relationship with Rebecca, and Rebecca reciprocates, then they should try things out and see if they work well together.

Superficial traits, such as ethnicity and gender, shouldn't impede one from pursuing a relationship with someone, let alone be an excuse to strongly dislike someone. If John's family disowns him for wanting to be with a woman of a different ethnicity, that's their lost, not his.

There's not enough information to gauge how envious John's other friends will be of him in regards to Rebecca (minus Mark). If their level of jealousy is ""playful"", as in they would say such things as ""Oh man, your girlfriend is so hot! I wish I were you!"", then it may not be that big of a concern. If their level of jealousy is ""serious"", as in they would say such things as ""She should've been my girlfriend! You don't deserve her!"", then it would be wise for John to either have a conversation with his friends, or cut ties with them. It would also be wise for him to keep an eye on Mark, to make sure he doesn't do anything harmful to either John or Rebecca.","Firstly, discern what it is that attracts you to that person. Is it due to superficial reasons, such as height, eye/hair/skin color, and fitness? Or is it due to deeper reasons? Do you find their laugh infectious, and just hearing it fills you with joy? Do they show kindness to everyone around them, even when the world drives them nuts, and it strives you to want to be better in turn? If you're attracted to the former, then you're pursuing them for the wrong reasons. If you're attracted to the latter, then continue your pursuit.

Secondly, does the person in question reciprocate the attraction? If they do not, in any compacity, then end your pursuit. No amount of insistence will change their mind, and any continuation will end in a severed connection at best. If they do, then take that leap of faith. Figure out how your relationship works, and whether or not it does work."
Male,Maybe,"The detail with Rebecca being ""extremely beautiful"" is unnecessary and seems misogynistic.
Regardless of Rebecca's appearance, if John thinks she would make a good partner and Rebecca is like minded, he should pursue her. It doesn't matter what Mark or John's family thinks because the person who this decision affects is John (and Rebecca). 
Mark didn't make a move sooner or he already tried and failed to impress Rebecca, either way his opinion matters very little. John's family doesn't have to live with or have an intimate relationship with Rebecca or John so who cares? John and Rebecca certainly shouldn't.","Cohabitation, reproduction, morals, and values. Can you live with them? Are you sexually compatible? Do your life morals and values line up similarly enough? All these things should be greenlit by all parties before you get into a romantic relationship. "
Male,Maybe,"Here it is more a question of moral choice, since on the one hand John starts dating Rebecca, but on the other hand he loses his friendship with Mark, since Mark will in any case be extremely depressed by this set of circumstances. If Rebekah has made a choice toward John and loves him, then John must reciprocate those feelings, as they are mutual. And it doesn't matter what the parents think about it, because it's not up to them to choose who their son loves. ","Trust, understanding and respect for each other. Without these things no relationship can last long."
Male,Yes,"Life taught me that you have to do the things that make you feel good without depending on anyone or anything. As long as you don't break or violate your values, anything goes.","One must first consider their well-being, the goal is to feel good about the decision you make when trying to have a relationship with someone. Then the factors that will make life together enjoyable, objectives, goals, interests, tastes, etc. must be considered."
Other,Maybe,John should go out on a date with her,"Keep jealousy away ,Manage stress ect."
Female,Maybe,"John Could State That He And Mark Are Interested In Rebecca, But Not To Hurt Each Other Feelings, They Kept Their Jealousy To Themselves.","1. Ask If They Are Single, 2. Make Proper Greetings With His/Her's Family & Friends, 3. Treat Each Other With Respect And You'll Get Respect Back From Them."
Male,Maybe,John should pursue Rebecca as the feelings are mutual and there's other people for Mark in the future. John can be the first in his family to break the racism whether it means going on his own or not which will better future generations of the family line. ,"They should take into mind whether feelings are mutual as to not force a relationship, and take into mind if that love interest would be good overall for their well being (financial, emotional, mental, physical). "
Female,Yes,he should do it because skin doesn't matter,go anther who you want like I'm a lesbian and I have a girlfriend so yeah
Prefer not to say,Yes,"His family should approve because all lives matter, John should weigh the value of the relationship  and the value of friendship of his friends to see if he should pursue this relationship.","First off, you should think about your feelings and the other personne’s, then you should always think about the consequences (good/bad) and then think of what you should do before you act."
Other,No,"I would want to know if John loves Rebecca, or just lusts after her. if he loves her for more than her good looks, i think his friends envy would be misplaced.",the most important thing is the other person making you happy
Male,Yes,I will not make a decision because my parents also don't approve,be always understanding to your partner in all things
Female,Maybe,I think  if John have feelings for Rebbeca then he should begin a relationship with her if he wants to and don’t worry about his relationship not being accepted by friends or family.,"I think some things to consider are trust, communication, support, openness and acceptance of who your partner is, in a relationship."
Male,Yes,"It'd shouldn't matter what your family thinks of a person. If they hate her because of skin color you either A, cut ties with them for basically racist behaviour. B, sit the family down and lay it on the line. Tell them if they can't overcome their racist tendencies they will no longer be a part of your life. C, if you think that your family will be harmful towards her because of her skin color, you might have to put aside your feelings, let Mark proceed towards his relationship with her, and tell his family because of their racist attitudes they cost him a potential life partner.","There's really not much. Mostly that you and your interest are respectful of each other, try to understand where they're coming from, commit fully to that person, no straying. If your family is against it, see previous answer, at the end of the day it's all about your life and your happiness. No one but yourself, and your potential love interest matters."
Male,No,Always care for other people's feelings and this sounds like a big mess waiting to happen. Love and relationships need healthy environments and there is none there.,"The pursuit is the problem. It has to just happen. It can't be forced or arranged in a society not governed by those same standards anymore. Or really ever was the right choice, cuz then someone or both just settle with who they meet and feel shortchanged. Can of worms...."
Male,Maybe,"I dont know, he will either consider her feelings or his parent's. The choice may be hard but it is not mine to make.",They should just consider that their partner is also a human being and respect them.
Male,No,"Relationships are often challenging, some more than others. Knowing your family won't approve of a partner isn't going to make things easy, but it is hard to judge based solely on the information provided, with different cultures addressing the skin color issue.
Envy can be an ugly thing, but is also very human. Having serious doubts about a potential relationship is also human.
I label myself as grey-romantic and grey-sexual, and I would suggest John seek someone else to ask advice of, but ultimately, no one can make such a decision for him (even if the decision is to follow the advice of someone else, such as in the case of arranged marriage.)","Sexual attraction, age gap, language barriers, compatibility in personality, financial responsibility, political stance, friend group, shared interests, red flags."
Male,Maybe,He should be honest with her and his family because that is his life.,Make sure you tell the person you love that you care for them because that's the right thing to do 
Male,Maybe,"I'll say, that, honestly, the information should be kept secret. Consider moving in another country (if you're old enough), and seven years later, just come back and the whole job is in the hat.","This was rules my mom teached. Number one; See the parents, be as a guest. Two; live together for a day or two, and see how good things roll around. Three; if anything goes wrong, evacuate."
Female,Yes,"Just go ahead, never letting external stressor to divide your love. Never decide your will according to the peer pressure. Everything that is agreed on both sides is considered bond.",Agreement on both sides. Run away to start a new life when its endangered.
Female,Yes,If John wants Rebecca truly then Boone else should matter but if it's only out of envy then it will never work,If it is truly what the heart wants go for it no matter what others think
Prefer not to say,Maybe,John should follow what his heart ses and should choose the best option for this situation.,"kindness, having things in common with there partner and making sure there relation ship is a healthy one."
Male,Yes,Well technically there are two options. but i always do what my mind said to me it can be starting a relationship with her or not. but considering the situation there is a high chance for start a relationship. only problem is family. but we cant decide what will happen next. we can do is stand with our choices. everything is not be positive all the time we had to deal with it. i think best option is start a relationship. family will changed later. and mark is not a problem at all. we all try to catch the fish but the guy who catch it keep its. simple theory that all the boys respect.    ,"trust is the only thing i consider. without trust nothing will be happen
"
Male,Yes,If John and Rebecca both have feelings for each then Mark has to accept that. He should tell his feelings to Rebecca and let her know there is a choice.,"Compatibility, goals, values, religion"
Female,Yes,"Trust your thoughts, if its just to make your friends envious dont. When you meet her if she is respectful, kind and doesnt treat anyone like trash then it is okay. If they dont like you, dont force them into a relationship for your will.","They would consider if they are pure hearted for you not just for something you have. Dont force them into a relationship. Think before you do anything, even in if its not a relationship "
Male,Yes,love is simple if u feel love express it ;like life some times. is urs sometimes its not…,only consider the mental state the person is …
Male,Yes,"John's parenst should let him have a love relationship with Rebecca,because they can't cut a relationship becuase they don't agree it.","First get a friendship or try to chat with them,for example."
Male,Maybe,"It depends on whether Jonh lives with his parents, or not. Is he an adult or not.
Now I'm going to assume that he is an adult.
John should ignore the circumstances and move on to Rebecca. 
If John is financially independent, he can easily do that, if not, it's complicated by his dependence on them.
He may regret it for the rest of his life if he doesn't try with Rebecca.","The rules of the relationship should be discussed.
What you would expect from each other, what your needs are.
This should be clarified as soon as possible.
This is especially important if there is going to be sex, but it doesn't have to be quick, but it can be a sweet way to get there.
Of course, this is not a hard and fast rule if you are passionate from the first moment. Better to satisfy than to stifle, and to wear masks in front of each other just for the sake of convention. Because it's a lie."
Female,Yes,"I think they should go for it anyways, if they both like each other and are in love then it shouldn't matter. All that matters is that they are happy, it shouldn't bother anyone else.","Is the maturity difference okay, will you be able to make time for each other and pay attention to each others love languages. Can you understand the other person? "
Female,Maybe,beauty is skin deep. respect others but love who you want to and the rest can fuck off.,I dunno.
Male,Yes,It kind of depends on the person himself like is Mark or was it John is technically a good person and not just some dirtbag trying to go under Rebecca's panties and do any of the three characters have anything that we could relate to at that moment.,"Three things: Honesty, Trust and Confidence!"
Male,No,If I were John I wouldn't let my friends jealousy and my family's racism stop me from loving a woman and making her mine. They can feel as disgusted by my decisions as they'd like but it won't change the fact that I love her. ,There will always be ups and downs. If there aren't any then something is wrong and it should be dealt with. If you don't love yourself before getting into a relationship your relationship is destined for failure. Always listen to your gut it never lies.
Male,No,If John really loves Rebecca then he should be honest about his feelings and tell her how he feels ,"People should consider each other's feelings, sacrifices, and time "
Female,Yes,I think it's beautiful ,That they should stick with each other for life
Male,No,Would tell Rebecca about my feelings. Would also tell my family and friends about my decision.,"Honesty, embrace the other's imperfections, let the Partner be himself / herself "
Male,No,John should just kill them all and tenderize the meat to later fillet and preserve as his survival food stores during the coming apocalypse. ,"How they will taste and can most of the cadaver be preserved before putrification sets in. Also, will their face make a good dead skin mask and/or at least an opaque lampshade."
Male,Yes,"It is nobody's business who loves who, especially on skin color. Unfortunately for Mark, Rebecca never gave any advances on him, not like either boy was asking her out to begin with. John shouldn't feel ashamed of who he likes and Mark should take people's attraction to him in strides.","Be as direct as possible. Don't be vague on things you want or need, because you'll just start infighting/disagreements like in the story above."
Male,Yes,"John should respect his family's wishes and not pursue a relationship with Rebecca. Choosing Rebecca would result in estranging himself from both his friend Mark and his family. Furthermore, his children would have an identity crisis because they were from different backgrounds. ","Beauty, respect, love, romance, loyalty "
Female,Yes,"John should start a relationship with Rebecca as his feelings are reciprocated. It is not right to allow racist families to control your love life. Friends can share attractions, but that does not always mean the friends are as accepted in their attraction. It may end a friendship but then the friendship was not as strong as desired. ","If your beliefs line up, if the attraction is mutual, if you can handle their mental or physical health problems if they exist, if your goals are supported by the other person"
Male,No,"I believe that if you really love the person, you will fight for that love even in the face of adversity. Nothing in this life is easy, it requires effort, dedication, persistence, recency and being brave. I still think that John's family is wrong to discriminate against someone because of their skin color.","Well, in this section it depends a lot on the person in question. Personally, I think it is someone who loves you for who you are and not so much for what you have, that the relationship is based on communication, trust. That is someone who helps you grow personally, at the same time is a suitable help and that both complement each other. If it is possible that they share something in common and that they enjoy together, that mutual respect is a value between the couple."
Other,Yes,"John should stop being a coward and tell his feelings. If his friends get envious of the fact that he got the girl who like him and now he's happy, they were never his true friends in the first place. True friends celebrate your happiness and success, they don't get envious of you.  As for the skin colour part, he should talk about it with his family. It'll take time, but at the end of the day, his parents will realise they just want their son to be happy","If I were crazed enough to consider a romantic relationship with someone and if someone was equally crazed to consider one with me, I need the following:

1. My own independence and freedom: It's like oxygen. Can't be without it.
2. Honesty: Again, nothing is going to work if they aren't blunt and upfront with me.
3. Loyalty: I mean, who doesn't want it?
4. Similar interests as me: Otherwise what would we talk about? Random gossip? UGH!"
Other,No,I really think this situation is overwhelming because every decision john does has a negative outcome in the end,Prepare for the worst
Male,Yes,I think John might have trouble being in love with Rebecca.,Strike when the iron is hot.
Male,Maybe,"You have not given enough information about Rebecca to make a judgment, but normally love / lust trumps raace.",The character situation of the other person and are they compatible. 
Other,Maybe,John leaves his stupid ass family and starts a polyamorous relationship with Rebecca and Mark!,that i am clinically insane
Male,Maybe,Hard to say,"For starters, a partner must be supportive, being there for their partner when they need it, to offer comfort "
Other,Maybe,"He should just date her and cut off his family. I mean, if they're racist why even care about them tbh. Also his friends while envious, should still try to stick by him. Befriending a woman just to date her and when it doesn't succeed leave her should just fuck off fr. Uhhh anyways John should date her because it'll work out for him and he can just get rid of those who don't like it because he can control who he interacts with in his life idk man. If Mark starts to hate him just because of this then was it really that great of a friendship. I mean sure he can be jealous but he should learn to let it be and if he doesn't then just get rid of him too ┐⁠(⁠´⁠ー⁠｀⁠)⁠┌ ","Idk I've never been in one but uhhh communication is important, if you're having a problem talk it out or else it won't be fixed. Or it could just straight up ruin the relationship if you don't communicate. Be sure to care for each other's needs and not to overstep boundaries, well, yeah start by setting basic boundaries. If your partner starts to control every part of your life, including trying to isolate you then you should seek help from a friend or family member to make it easier to break it off. Remember, if you end up in an abusive relationship it's not your fault and you can make it out. Ummm uh make sure to have time for yourself as well, a relationship doesn't always have to be so codependent, it's fine to spend time by yourself away from your partner occasionally. Um idk what else I've never dated I just see relationships ermm break up if you start to hate them or whatever don't stay in a relationship that you feel is going nowhere ."
Male,No,feelings of love usually mean its feelings towards a sexual attraction so either john or mark or both have to get it out of their system to not loose their companionship over something like 'romantic' love so that they arent jealous or angry at each other after rebecca made a choice.,if they are actually sexual in nature and not romantic as described in books and other media. getting to know someone is deeper than just mere romance and sexuality. a true bond goes beyond that.
Male,Maybe,"I think John should go after Rebecca. His friends, including Mark can’t blame him for her wants. With the family not accepting her skin color, that’s their problem, not John’s or Rebecca’s","Their interests and passions, mindset/mind state, personality traits, and morals/principles they stand on"
Male,Yes,"Honestly, I'm two ways about this situation. I don't think it would be a good idea because first this could possibly cause disputes among different parents of different race due to their family member's interracial relationship, which can sort to possible racism, albeit hidden in attitude or straight to the point in front of different family members, and the thought of the parent's grandchildren from that child being introduced to different culture led by that parent of it can bother them, thus can create familial issues even if their children decided to marry each other despite their color. 


But. if John is attracted to Rebecca and Rebecca has the same feelings for him, then you can't exactly make them change their mind, you just have to let them go and accept it as how it is, especially if they are independent.
Friends who are envious and jealous of one because of their relationship with the other proves that they are not the ones for you. A real friend would respect their decision and be happy for that person, a real friend won't take your happy life away to benefit their own.
For John's parents, if he and Rebecca choose to continue their relationship with a different other this way and even decided to be engaged later on, they will have to respect and accept his decision. John and Rebecca's parents will have to do the best to remain positive and to be close with one another.","Personally, what I would suggest is a person of a certain ethnic pursuing a relationship with someone like them(Ex. Black male with a Black Female)Because interracial relationships can be another, secret way of breeding out people of color(Most significantly, African people), as apparently it takes 4 generations of people from the same interracial relationships to completely erase the melanin from the person's skin, making them a white race.

Another thing, when people pursuing a romantic relationship, they have to take time with each other before going any further, meaning that they have to find a reason to be together by getting to know each other, see if they have common interest, hangout places, meet families, and do the best to be social with each other by communicating with one another before they decide if they are worth getting engaged to.


Also, for Men in a relationship with women, they must remember that females are first come first serve, meaning they have to do be a service for them all the time, since they're usually the ones taking them out somewhere, like for instance in a restaurant they open doors for her, assigned and help serve seats for them, and they must pay for all the dating expenses so that way she doesn't do all the work, saving time for them and make them feel like they are special, as they should be treated as such.

Lastly, relationships should be fixed and handled by two partners, should there be conflict with one another, for instance, if one partner is wrong about something and the other points out the flaws and they remembered, they must apologize for the mistake and do the best to ease the womb. Refusal to solve problems in a relationship can result in more conflict, fights, and aggression with one another, whether be physical, mental, or emotional.

 This is especially a problem in a marriage because it can lead to heartbreaks, distrust, and separation from one another, which can lead up to a divorce, this can especially hurt couples with children because it can have an impact on their lives, one would want to stop the arguing because they don't understand what's going on and think that they are fighting for no reason as well as gain peace of mind so they either tell parents to quiet down or mentally want it to stop, one could blame one of the parents for starting the argument and with times of siding with one parent, can result them believing the other parent is the problem. 
Kids must be educated by wise, understanding parents on relationships, the logics of it, and the results of it.
"
Female,Yes,"I believe John shouldn't just ignore Rebecca or his feelings just because of how his family feels for her skin color, especially since she said she likes him. I also believe that he should not allow what his friends feel stop him either.","I have not been in a romantic relationship yet, but I think possibly whether they like the person for their character or their looks, since if they haven't seen what the person is really like, they may regret ending up in a relationship later. as i said earlier,i have not been in a romantic relationship nor do i intend on being in one soon, but i think is something i think would be important"
Female,Maybe,"I think John’s values has a lot to do in this situation. While he is attracted to her, is he ready or willing to upset and perhaps affect his parents in some way and his social dynamic with his friends? Is he taking Rebecca’s thoughts into mind when they follow through with their relationship? While I cannot speak about which course of action is right (because the current circumstances around him do not make his actions wrong) there are some actions related to his situation that people can deem as distasteful such as being boastful about “bagging” Rebecca and rubbing salt in the wounds of Mark. I think that as long as John has taken these things in consideration, and is aware of the consequences and still intends to pursue Rebecca, he should be free to make his own decisions.","My answer might be a bit different. Loving is free. But when choosing a person to be in a committed romantic relationship with, there are many things to consider other than emotional compatibility, attractiveness, family, personality, and financial status. I feel that it is important for couples to mostly be on the same page in their lives. Circumstances such as that of John’s with Mark I deem to be external but the importance of this situation lies on how John deeply feels about his friend. I don’t really like to police people’s morals, especially when it comes to a topic easily complicated like this, but I think that as much as possible, do not hurt people unless it really can’t be helped (like, do not bring others to cheat or do not stalk)."
Male,No,Skin color plays no part in my decision.  What's right for her and I is what counts. If the family really cares it's about what's right. ,"Do they really feel for that person or is it for looks, prestige,or just to get back at somebody.  "
Female,Yes,"I believe interracial relationships are just as important as ""normal"" relationships. If John truly loved this woman and would like to begin a relationship with Rebecca, he should ask her out on a date. If it goes well, it goes well. If it doesn't, it doesn't.

Should the date go well and John is hesitant about introducing her to his family, assuming said family is white and strict, I'd suggest they wait until the time is right. If they warm up to the idea of an interracial relationship with no judgements, John should bring his lady friend over more often for holidays or visits. If they choose not to accept it, his family isn't worth pleasing.

And if it works out, John and Mark should talk to each other about their feelings regarding the woman they both loved. It's going to be excruciatingly painful for both parties, but it gets stuff off of their shoulders. Certain men get petty when they don't get what they want. ","No matter who you are, your partner should be willing to accept your flaws with no judgement, be willing to help whenever they can, and if they truly loved you, they would never base your flaws as your main personality. Your partner should treat you like a human being, not an object.

The most important thing to remember is, COMMUNICATION IS KEY. Nobody likes talking because they assume it makes things worse, but in my experience, it does AND doesn't. It doesn't because with your partner, you can be completely honest with them, no matter how much it hurts them. If they take it personally, it's on them, not you. But remember to keep your cool too.

If neither is willing to be honest, they're not ready for a relationship, let alone ready to be in a relationship with one another. If anything, they're better off being friends.

Certainly, no relationship is perfect, so not only does your partner need to understand that you have limits, you need to understand THEY have limits too. Romance is tricky, and I'm still trying to figure that out, being a single woman in her 20s. I'm a hopeless romantic, so I believe everyone deserves at least one soulmate."
Male,Yes,John should try to form a relationship with Rebecca because true love is the best thing that can exist.,"They should consider if the relationship is authentic, has promise for creating a family, and the two people share an identical goal and worldview in life."
Female,No,"If Rebecca seems to be into John then John should tell her. She may not like Mark. And if Mark is indeed a good friend, then he would get over it for the sake of both John and Rebecaa. If Mark loved Rebecca enough, he would want her to be happy. And if John is whats going to make her happy then so be it.
If John's parents are racist, that shouldn't mean he can't date Rebecca. If they won't show support, then he doesn't need it. He can get on just fine with just Rebecca and himself.","They should share some of your important views. Doens't have to be all, sometimes its good to be challenged, but they should share some of your core beliefs. You wouldn't want a guy who is sexist or racist or homophobic/transphobic. You also want a guy who is quiet and doesn't give into peer pressure. A guy who doesn't push you around and who isn't pushed around by others. A guy is reasonable enough to make good choices, but not so much that he can't dream big."
Male,Maybe,It is silly for real friends to fight over a girl. Let her decide instead. John's parents must not judge Rebeca because of her skin color.,Take a time to actually know the person before making a big leap like this.
Female,Yes,"If john truly loves her, he could react in two ways. Either confess and let her know the situation to let her go, Or admit and ignore the ridicule.",1. Body language. 2. Interest in favorable subjects. 3. Respect boundaries and opinions. 4. Talk together about love languages 
Female,No,"depends on how much he loves her, and how much she loves him, if its just physical attraction it isnt worth loosing family and friends, but if this bond is unbreakable, then maybe go for it, but it truly depends on how well you are connected to your family, and how you know your friends will react, if mark wont let it go then maybe he wasn't a good friend to begin with, and the other guys most likely wont be jealous just proud, or that's how most guys ive seen react, all the guys that ive met that truly get jealous arent right in the mind and are genuinely lonely quite sad.","a genuine emotional connection, dont strive to be perfect to appeal to someone else, if they truly love you, they will love you in your worst and in your best, most physical relationships dont last long, since there is no mental connection or communication"
Male,Yes,"Live you own life. Make decisions, and deal with the consequences.",Mutuality
Female,No,"Whether or not Mark likes her doesn’t matter unless Rebecca also likes Mark. If Rebecca does like Mark and John it’s still her choice to date whomever she wishes and it’s the responsibility of the hurt party to tend to their own feelings about the situation. It’s not the responsibility of John or Rebecca to fix Marks feelings. As for the family issue, John needs to be upfront about that so Rebecca doesn’t develop deep feelings for him before discovering his family situation. ","People need to know the difference between lust, limerence, obsession and love. "
Male,No,"I'm sure this social dilemma could make for a great dramatic series if done well enough. I think in order to solve this potentially painful situation with the least harm, John should consider his values and communicate them to those involved (Rebecca, Mark, his family). Communication of intent and awareness of others' perceptions of that intent are vital to avoiding the worst outcomes (broken friendships, grudges, familial schisms, etc). Easy advice to give, perhaps harder to follow.","It depends on the specifics of the situation of course, but at minimum I think people should question their own reasons for pursuing a relationship before deciding to. I.e ""why do I want this?"", ""what am I hoping to get from this?"" as well as ""what kind of person would I want to be in a romantic relationship with?"""
Female,Maybe,"John would simply have to step up to make the first move to establish his relationship. The fact that John's family would not approve of her might stop Rebecca herself more so than John himself whom can go against his family in this compared to a stranger who Rebecca would be at this moment. As well as with the family of John not approving, and John knowing his friends would be envious, it is up to John to decide whether he wants to keep his friends in a less strained relationship or more so by dating Rebecca to which his friends would be jealous over, even then, if they are true friends, they wouldn't do much to harm John's relationship with them or Rebecca, however John is the only one who knows this aside from his friends themselves so whether he makes the move is entirely up to him and so on.","Mutuality, both can share a burden, trust, boundaries, equality, and so on."
Male,No,If john really likes rebecca he should proceed.  Friends are much easier to replace than a rare opportunity for love.,Shared values and principles.  Similar goals with respect to what kind of life to build together.  Both want kids? when? 
Prefer not to say,No,"If John truly has some form of affection towards Rebecca, he should just confess his feelings to her. Regarding his friend Mark, he’ll understand at some point and be friends again with John if he’s a true friend. 

Regarding the skin color topic, I think John should take a stand for her and have an argumentative conversation with his family so that she’s accepted willingly in his family. If not, just move out and hope for the family to come around coz eventually family does come around. 

John should just tell his feelings right away to Rebecca ","Honesty, mutual respect, intimacy and spending quality time together irrespective of them living together or not. People in a romantic relationship should always keep their partner on same priority as they keep themselves, if that’s not possible for some reason then discuss those reasons out before it’s too late, should cook for each other. 

Never burden responsibility on other person but share along & obviously have an intimate bond."
Female,No,"John should go for it if he is interested in her. While yes, Mark might be jealous of John, Rebecca obviously has feelings for John, meaning Mark would theoretically not stand a chance, and have his heart broken either way. While it’s true John needs to look out for his friends, if his friends already know he has a thing for Rebecca, they’d respect that he and Rebecca should be together, considering thats what she wants. As for John’s family, while it might be nerve wracking to deal with a family with old values, if John genuinely cares for Rebecca, he will stand by her regardless of what his family says. The situation itself just relies on a lot of courage and trust building between people.","Things the other person likes, and doesn’t like to be able to understand ways to do nice things for them in the future. Trusting that person and showing that you trust them. Respecting of boundaries is big, and also helps with trust itself."
Male,No,"Time, our only currency, so do things last week that you're still putting off today; there's not much time, love needs to be on deck, take the rudder and send fear to time out. Also, give Mark a call, better yet, invite him to the poop deck for a beer to clear the air.","Time is fast, but love needs a slower gait. By all means be yourself, try to resist the urge for  façade. Watch how they treat others, observe the company they keep, play matchmaker for yourself, be keenly aware of any clues, folks show themselves if you pay attention. By all means, do not jump head over heals, remember if it's meant to be it will."
Male,No,"
that the girl should only choose to one of the guys","Don't being toxic, evite harassment or envy, and more answers."
Female,Maybe,"Jhon should not be afraid to say his feelings, nor to tell Rebecca the situation, if he really loves her, he will be with her, regardless of what others say, not even his parents, it is his life. Your decisions. No one should get in the way, or change it. And yes Mark, he is someone mature, or understanding, if the girl he likes likes someone else, he must understand and accept things as they are, to be happy.","Have things in common, Understanding, Kindness, Maturity, If they get married, they must have a good economy, Confidence, Care, Self-love and above all... Nothing, or handle jealousy."
Male,Maybe,"John should think about which he cares more about, His family or Rebecca and go from there. John should also figure out whether he loves Rebecca, or is feeling lust for her ","One must think of whether interests clash, would that person be a good fit, and is one ready to start a relationship "
Other,Maybe,"I believe that John should confess his feelings either way. It should not matter what his family thinks (assuming they are all adults) based on skin colour, his feelings should matter to him and to Rebecca.","I am not a romantic person myself nor would I consider being in one, but I strongly believe that the people pursuing a relationship should feel security and comfortability in their relationship(s). That is the most important aspects that should be considered."
Male,Yes,A man should not let anyone influence his decisions and should stand on his own to feet if he is a scared little boy he will run home to mommy and if he is a man he will choose what is right for him and stand by it ,"you should definitely consider if the interests of both parties align and if it does not that it does not conflict with each others interests, religion could be problematic for certain religions,   a persons background also plays a role so if both parties have extremely different backgrounds it could become problematic later on in the relationship"
Female,Maybe,"John should first talk with Mark to make his intentions known. If Rebecca and John want to be together, Mark needs to do the right thing and wish them well. (Rebecca already doesn’t want to be with him, so it costs Mark nothing to be cool; but might cost him his friends if he can’t accept defeat graciously.) If John is worried about how an interracial relationship would affect his family, he should feel the situation out before telling them about it. Obviously bigotry and racism aren’t acceptable, but if John doesn’t think he can handle people disapproving, he should reconsider being with Rebecca — maybe set her up with Mark? :)","They should consider whether the person has similar goals — if one person wants to just date and mess around, and the other is looking to get married and have kids, there’s bound to be an issue. It’s also important whether their personalities mesh well, whether the other person has any personal dealbreakers, and how trustworthy the person is if the relationship is to succeed."
Female,Yes,"If John’s family wouldn’t improve the relationship even by Rebecca’s skin color, so be it. What matters is how much they went to be for each other no matter what ",Taking the relationship seriously by getting to know each other’s personal details of their lives 
Male,No,lmao go do it if mark was a true one he wouldnt be jealous also racism bad,if you are emotionally mature to pursue one
Female,Maybe,"They should be together anyways, life is short",The ability and willingness to deal with their past trauma and heal 
Male,Maybe,it is still necessary to know if their relationship will last,"confidence, wanting a family life"
Other,No,"If they're not happy for em they're not real friends.
Same is for his family - what does he care wether or not they approve? If they can't accept his relationship JUST because of skin color then just cut off contact with em. They'll always have something to pick on.","just don't be creepy, be yourself and don't let yourself be influenced by e.g. your families judgement or how your friends would feel if you yourself think it's the right person. And if they reject you, take it. No is no."
